Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
КРИО_СЕРВИС,,Гелий (м.Б.) в баллонах,30000.0,,40.0,литр
КРИО_СЕРВИС,,Ацетилен растворённый в баллонах Unitor,5500.0,,40.0,литр
КРИО_СЕРВИС,,Кислород технический в баллонах Unitor,2600.0,,40.0,литр
КРИО_СЕРВИС,,Азот в/ч в баллонах Unitor,3000.0,,40.0,литр
КРИО_СЕРВИС,,Пищевую смесь N2CO2 в баллонах,3000.0,,40.0,литр
КРИО_СЕРВИС,,Ацетилен марки А в баллонах,30000.0,,40.0,литр
КРИО_СЕРВИС,,Ацетилен растворённый в баллонах,3500.0,,40.0,литр
КРИО_СЕРВИС,,Аргон в баллонах,1500.0,,10.0,литр
КРИО_СЕРВИС,,Кислород технический в баллонах,500.0,,40.0,литр
КРИО_СЕРВИС,,Азот в баллонах,1000.0,,40.0,литр
КРИО_СЕРВИС,,Углекислота (двуокись углерода) в баллонах,1000.0,,17.0,литр
КРИО_СЕРВИС,,Баллон ацетиленовый,5900.0,,40.0,литр
КРИО_СЕРВИС,,Баллон ацетиленовый малой ёмкости,9900.0,,10.0,литр
КРИО_СЕРВИС,,Баллон гелиевый,12000.0,,40.0,литр
КРИО_СЕРВИС,,Баллон гелиевый малой ёмкости,6500.0,,10.0,литр
КРИО_СЕРВИС,,Баллон кислородный,9800.0,,40.0,литр
КРИО_СЕРВИС,,Баллон кислородный малой ёмкости,4600.0,,12.0,литр
КРИО_СЕРВИС,,Баллон углекислотный,9800.0,,40.0,литр
КРИО_СЕРВИС,,Баллон углекислотный малой ёмкости,5500.0,,30.0,литр
КРИО_СЕРВИС,,Баллон аргоновый / сварочная смесь,9800.0,,40.0,литр
КРИО_СЕРВИС,,Баллон аргоновый малой ёмкости / сварочная смесь,5500.0,,10.0,литр
КРИО_СЕРВИС,,Баллон азотный,9800.0,,40.0,литр
КРИО_СЕРВИС,,Баллон пропановый «новый»,5500.0,,50.0,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Масло-концентрат для интенсивного омоложения с эфирным маслом розы,1699.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гель для умывания на основе гидролата розы для эффективного очищения, 200 мл",799.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Восстанавливающий крем на основе гидролата розы для комплексного омоложения,1399.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гидролат розы для сохранения красоты, 200 мл",899.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Масло-концентрат для лица с маслом розы, 15 мл",999.0,,0.015,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Увлажняющий крем на основе гидролата розы для нормальной и комбинированной кожи,899.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Ультрапитательный крем на основе гидролата розы для сухой и очень сухой кожи,1499.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Маска глубокоочищающая с экстрактом грязи Сакского озера 1 шт., 25 мл",149.0,,0.025,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Маска глубокоочищающая с экстрактом грязи Сакского озера 10 шт. по 25 мл,1299.0,,0.25,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Бальзам для губ питательный,249.0,,0.0045,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем для век омолаживающий с экстрактом лаванды,1499.0,,0.025,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем для век увлажняющий с экстрактом лаванды,1499.0,,0.025,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Бальзам для губ увлажняющий,249.0,,0.0045,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Тканевая маска-бустер увлажняющая с лавандой и розой,205.0,,0.02,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Тканевая детокс-маска  на основе гидролата розы,205.0,,0.02,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Тканевая маска-филлер омолаживающая с лавандой и розой,205.0,,0.02,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Тканевая лифтинг-маска на основе гидролата розы,205.0,,0.02,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Тканевая маска-бустер питательная  на основе гидролата розы,205.0,,0.02,литр
